9	9_0	Buchnera aphidicola	GCF_900128725.1	362	2125	C
48	48_0	Archangium gephyra	GCF_001027285.1	8896	16694	C
52	52_0	Chondromyces crocatus	GCF_001189295.1	7342	14649	C
69	69_0	Lysobacter enzymogenes	GCF_001442515.1	4418	21142	C
192	192_0	Azospirillum brasilense	GCF_001315015.1	5337	23025	C
195	195_0	Campylobacter coli	GCF_001483845.1	1913	10277	C
197	197_0	Campylobacter jejuni	GCF_001507025.1	1601	8938	C
199	199_0	Campylobacter concisus	GCF_001298465.1	1733	9530	C
201	201_0	Campylobacter lari	GCF_001017575.1	1499	8363	C
202	202_0	Campylobacter mucosalis	GCF_000705255.1	1508	8135	C
210	210_0	Helicobacter pylori	GCF_000685745.1	1422	7798	C
210	210_1	Helicobacter pylori	GCF_001433495.1	1430	7903	C
210	210_2	Helicobacter pylori	GCF_001433515.1	1395	7672	C
210	210_3	Helicobacter pylori	GCF_001653375.1	1426	7883	C
210	210_4	Helicobacter pylori	GCF_001653435.1	1330	7381	C
216	216_0	Helicobacter muridarum	GCF_000765805.1	1624	8610	C
253	253_0	Chryseobacterium indologenes	GCF_900113975.1	4195	16621	C
276	276_0	Thermus filiformis	GCF_000771745.2	2180	5769	C
287	287_0	Pseudomonas aeruginosa	GCF_900070375.1	5561	20175	C
292	292_0	Burkholderia cepacia	GCF_000974835.2	5283	23819	C
292	292_1	Burkholderia cepacia	GCF_001718395.1	6192	26895	C
292	292_2	Burkholderia cepacia	GCF_001718835.1	6527	27912	C
294	294_0	Pseudomonas fluorescens	GCF_000730425.1	5161	19119	C
294	294_1	Pseudomonas fluorescens	GCF_000934565.1	5402	19800	C
294	294_2	Pseudomonas fluorescens	GCF_000968415.1	5603	20390	C
294	294_3	Pseudomonas fluorescens	GCF_001307155.1	5625	20699	C
294	294_4	Pseudomonas fluorescens	GCF_001307275.1	5909	20863	C
294	294_5	Pseudomonas fluorescens	GCF_001612705.1	5974	20734	C
294	294_6	Pseudomonas fluorescens	GCF_001708485.1	5480	20071	C
296	296_0	Pseudomonas fragi	GCF_001543265.1	4247	16252	C
303	303_0	Pseudomonas putida	GCF_000691565.1	5202	18708	C
303	303_1	Pseudomonas putida	GCF_001515585.1	4811	18214	C
